,channel,title,video_id,video_description,published_date,extraction_date,views,thumbnail
0,Alessandro Feitosa Jr.,Preconceito otimizado - Olhos de Robô,1WZxJ5g9rl0,"Vídeo da série de minidocumentários Olhos de Robô.

Trabalho realizado Projeto de Trabalho de Conclusão de Curso apresentado na FAFICLA da PUC-SP como requisito para a conclusão do Curso de Comunicação e Multimeios. Orientador: Prof. Dr. Marcelo Prioste.",2021-10-02T18:48:57Z,2021-10-02 15:55:13.603898,45,https://i.ytimg.com/vi/1WZxJ5g9rl0/hqdefault.jpg
1,Alessandro Feitosa Jr.,Vigilância engatilhada - Olhos de Robô,-rBA4R9QHAk,"Vídeo da série de minidocumentários Olhos de Robô.

Trabalho realizado Projeto de Trabalho de Conclusão de Curso apresentado na FAFICLA da PUC-SP como requisito para a conclusão do Curso de Comunicação e Multimeios. Orientador: Prof. Dr. Marcelo Prioste.",2021-10-02T18:49:00Z,2021-10-02 15:55:13.603898,44,https://i.ytimg.com/vi/-rBA4R9QHAk/hqdefault.jpg
2,Alessandro Feitosa Jr.,Neutralidade camuflada - Olhos de Robô,-NY8FYo-hY0,"Vídeo da série de minidocumentários Olhos de Robô.

Trabalho realizado Projeto de Trabalho de Conclusão de Curso apresentado na FAFICLA da PUC-SP como requisito para a conclusão do Curso de Comunicação e Multimeios. Orientador: Prof. Dr. Marcelo Prioste.",2021-10-02T18:49:03Z,2021-10-02 15:55:13.603898,47,https://i.ytimg.com/vi/-NY8FYo-hY0/hqdefault.jpg
3,Alessandro Feitosa Jr.,Privacidade desabilitada - Olhos de Robô,e8PeR4eecs8,"Vídeo da série de minidocumentários Olhos de Robô.

Trabalho realizado Projeto de Trabalho de Conclusão de Curso apresentado na FAFICLA da PUC-SP como requisito para a conclusão do Curso de Comunicação e Multimeios. Orientador: Prof. Dr. Marcelo Prioste.",2021-10-02T18:49:11Z,2021-10-02 15:55:13.603898,87,https://i.ytimg.com/vi/e8PeR4eecs8/hqdefault.jpg
